year,id,doi,title
2016,pub.1079378352,,"Elective surgical outcomes of patients in Christchurch, New Zealand."
2016,pub.1079362184,,The scratch test for identifying the lower liver edge is at least as accurate as percussion and is significantly more effective for young trainees-a randomised comparative trial.
2016,pub.1121673512,10.1182/blood.v128.22.3131.3131,"Relationship of JAK2V617F Allelic Burden (AB) to Demographics, Disease Characteristics, and Response to Therapy in Persist-1, a Randomized Phase III Study of Pacritinib (PAC) Versus Best Available Therapy (BAT) in Patients (pts) with Primary and Secondary Myelofibrosis (MF)"
2016,pub.1121673230,10.1182/blood.v128.22.243.243,Higher c-MYC Expression Is Associated with Ixazomib-Lenalidomide-Dexamethasone (IRd) Progression-Free Survival (PFS) Benefit Versus Placebo-Rd: Biomarker Analysis of the Phase 3 Tourmaline-MM1 Study in Relapsed/Refractory Multiple Myeloma (RRMM)
2016,pub.1048263582,10.1097/mao.0000000000001206,Electrocochleography for the Diagnosis of Ménière's Disease
2016,pub.1014700236,10.1016/j.clinbiochem.2016.05.017,"Collection tubes containing citrate stabiliser over-estimate plasma glucose, when compared to other samples undergoing immediate plasma separation"
2016,pub.1003528594,10.1111/1742-6723.12699,Emergency departments and alcohol: The perpetual hangover
2016,pub.1002464398,10.1186/s12873-016-0089-y,Heart Fatty Acid Binding Protein and cardiac troponin: development of an optimal rule-out strategy for acute myocardial infarction
2016,pub.1008306414,10.1136/ebmed-2015-110361,Traditionally taught clinical variables and risk factors perform poorly in the prediction of acute coronary syndromes in the emergency department
2016,pub.1094153678,10.1109/iecbes.2016.7843498,Early Clinical Trial Termination: Simulation-based Design of a Robust Stopping Rule Using Difference in Interventional Effect on Mortality
2016,pub.1039829739,10.1186/s12936-016-1373-8,Plasmodium vivax infection: a major determinant of severe anaemia in infancy
2016,pub.1013318879,10.1016/j.iccn.2016.05.003,Clinical Activity Monitoring System (CATS): An automatic system to quantify bedside clinical activities in the intensive care unit
2016,pub.1064067402,10.1177/1708538116650580,Does the diameter of abdominal aortic aneurysm influence late survival following abdominal aortic aneurysm repair? A systematic review and meta-analysis
2016,pub.1047268872,10.1186/s13613-016-0125-9,"Safety, efficacy and clinical generalization of the STAR protocol: a retrospective analysis"
2016,pub.1025763970,10.1038/npjparkd.2015.27,Different PD-MCI criteria and risk of dementia in Parkinson’s disease: 4-year longitudinal study
2016,pub.1006819737,10.1186/s13059-016-1105-y,Disorders of sex development: insights from targeted gene sequencing of a large international patient cohort
2016,pub.1049670209,10.1016/j.mpsur.2016.10.004,Oesophageal atresia and tracheo-oesophageal fistula
2016,pub.1032273345,10.1111/1742-6723.12679,The VHOT (Vindaloo Hastens Outpouring of Troponins) Study
2016,pub.1050148710,10.1186/s13054-016-1358-6,Erratum to: 36th International Symposium on Intensive Care and Emergency Medicine
2016,pub.1045848105,10.1002/14651858.cd002200.pub3,Follow‐up strategies for patients treated for non‐metastatic colorectal cancer
2016,pub.1079356331,,Improving the use and timeliness of anticoagulation reversal for warfarin related intracranial haemorrhage.
2016,pub.1079356335,,Detection of sudden death syndromes in New Zealand.
2016,pub.1063344526,10.1161/circulationaha.116.022677,Assessment of the European Society of Cardiology 0-Hour/1-Hour Algorithm to Rule-Out and Rule-In Acute Myocardial Infarction
2016,pub.1034953956,10.1007/s00268-015-3287-y,The Bare Minimum Requires Caution
2016,pub.1007071762,10.1016/j.ejso.2016.05.006,Salvage surgery in patients with recurrent or residual squamous cell carcinoma of the anus
2016,pub.1047859859,10.1016/s0140-6736(16)32050-5,"Comparison of an everolimus-eluting bioresorbable scaffold with an everolimus-eluting metallic stent for the treatment of coronary artery stenosis (ABSORB II): a 3 year, randomised, controlled, single-blind, multicentre clinical trial"
2016,pub.1021657354,10.1016/j.idh.2016.09.068,Infection prevention & control challenges with the management of a suspected case of Ebola Virus Disease
2016,pub.1005261485,10.1111/ans.13425,Surgical ward round checklist
2016,pub.1019857839,10.1016/j.sste.2016.08.001,Spatio-temporal variation of mood and anxiety symptom treatments in Christchurch in the context of the 2010/11 Canterbury earthquake sequence
2016,pub.1001959946,10.1002/ajmg.a.37842,Clinical and genetic aspects of KBG syndrome
2016,pub.1023954691,10.1186/s40425-016-0173-6,31st Annual Meeting and Associated Programs of the Society for Immunotherapy of Cancer (SITC 2016): part two
2016,pub.1000312695,10.1002/bjs.10229,Cohort study of mesenteric panniculitis and its relationship to malignancy
2016,pub.1045274229,10.1016/j.jvir.2016.07.025,Endovascular Repair of a Traumatic Ascending Aortic Tear Injury
2016,pub.1034067029,10.1016/j.jacc.2016.09.690,TCT-552 SERIAL ASSESSMENT OF CALCIFICATION 5 YEARS AFTER BIORESORBABLE VASCULAR SCAFFOLD IMPLANTATION: FUSION OF INTRAVASCULAR ULTRASOUND AND OPTICAL COHERENCE TOMOGRAPHY
2016,pub.1019138237,10.1111/ceo.12761,How safe is diode laser peripheral iridoplasty for the corneal endothelium?
2016,pub.1084075790,10.1016/j.freeradbiomed.2016.10.346,305 High-Dose Ascorbate Administration Increases Tumor Ascorbate Levels and Decreases Hypoxia-Inducible Factor-1 Activity and Tumor Growth in Mice
2016,pub.1004081587,10.1016/j.cardfail.2016.09.012,Hemodynamic Monitoring in Advanced Heart Failure: Results from the LAPTOP-HF Trial
2016,pub.1052987360,10.1016/j.ijcard.2016.07.273,Current practices of Asia-Pacific cardiologists in the utilization of bioresorbable scaffolds
2016,pub.1006818983,10.1111/dom.12698,"Randomized, double‐blind clinical trial comparing basal insulin peglispro and insulin glargine, in combination with prandial insulin lispro, in patients with type 1 diabetes: IMAGINE 3"
2016,pub.1079349779,,Antimicrobial resistance in New Zealand: the evidence and a call for action.
2016,pub.1011109439,10.1371/journal.pone.0165340,"Submicroscopic and Asymptomatic Plasmodium Parasitaemia Associated with Significant Risk of Anaemia in Papua, Indonesia"
2016,pub.1079341437,,Rapid access carotid endarterectomy: winning the RACE following a natural disaster.
2016,pub.1013894691,10.1080/00016489.2016.1175663,oVEMPs and cVEMPs in patients with ‘clinically certain’ Menière’s disease
2016,pub.1042863547,10.1111/imj.13217,Cardiac cephalgia: a diagnostic headache
2016,pub.1040120718,10.1016/j.concog.2016.09.002,"Attention lapses and behavioural microsleeps during tracking, psychomotor vigilance, and dual tasks"
2016,pub.1052758492,10.1111/imj.13212,Evolve osteoporosis and other guidelines avoiding cognitive bias
2016,pub.1000956712,10.1097/mao.0000000000001161,Stapedectomy in Teunissen–Cremers Syndrome
2016,pub.1001536948,10.1111/imj.13210,A rare case of coeliac disease in an African teenager
2016,pub.1079330081,,Publication rates and characteristics of undergraduate medical theses in New Zealand.
2016,pub.1029949666,10.1016/j.toxlet.2016.06.001,Mechanism-specific injury biomarkers predict nephrotoxicity early following glyphosate surfactant herbicide (GPSH) poisoning
2016,pub.1031845851,10.1111/epi.13473,An integrative in silico system for predicting dysregulated genes in the human epileptic focus: Application to SLC transporters
2016,pub.1003055534,10.1016/j.ajhg.2016.06.027,Sudden Cardiac Death Due to Deficiency of the Mitochondrial Inorganic Pyrophosphatase PPA2
2016,pub.1028718723,10.1016/j.bspc.2016.06.014,Estimating the true respiratory mechanics during asynchronous pressure controlled ventilation
2016,pub.1053335707,10.1111/ajco.12458,Hypofractionated radiation treatment in early breast cancer: Results in a New Zealand setting
